ID,Year,Release Date,Artist,Title,Type
97,2022,August 31,Poppin'Party,Natsu ni Tojikomete,Single
98,2022,September 14,Morfonica,"Yorube no Sunny, Sunny",Single
99,2022,October 26,Roselia,Swear ~Night & Day~,Single
100,2022,November 9,MyGO!!!!!,Meisei Kyou,Single
101,2022,November 30,RAISE A SUILEN,THE WAY OF LIFE,Single
102,2022,December 14,Various Artists,BanG Dream! Girls Band Party! Cover Collection Vol.7,Cover Collection
103,2023,March 15,Morfonica,QUINTET,Album
104,2023,April 12,MyGO!!!!!,Otoichie,Single
105,2023,April 26,Afterglow,STAY GLOW,Album
106,2023,April 26,Roselia,THRONE OF ROSE,Single
107,2023,May 31,Poppin'Party,Seishun To Be Continued,Mini-Album
108,2023,May 31,Pastel*Palettes,Pastel à la mode,Album
109,2023,June 28,"Hello, Happy World!",SMILE ON PARADE,Album
110,2023,June,RAISE A SUILEN,11th Single,Single
111,2023,"July 12, 2023",POPY,Infructescence,Album
112,2023,"July 12, 2023",ROSE,Blütenstand,Album
113,,,MyGO!!!!!,Hitoshizuku,Single
114,,,Various Artists,BanG Dream! Girls Band Party! Cover Collection Vol.8,Album
115,,,Ave Mujica,Alea jacta est,Mini-Album
